timestamp,symbol,open,high,low,close,weighted_price,volume
2017-10-01 19:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,21965.61209764
2017-10-01 20:00:00+00,BTCUSD,4315.80,4320.00,4311.00,4313.20,4315.66,123.62432440
2017-10-01 20:00:00+00,ETHUSD,300.89,301.25,300.61,300.70,300.76,688.04354933
2017-10-01 20:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,6575.73943700
2017-10-01 20:15:00+00,BTCUSD,4314.80,4335.00,4314.80,4330.40,4327.28,95.14585487
2017-10-01 20:15:00+00,ETHUSD,300.76,301.40,300.60,301.00,300.87,898.42553293
2017-10-01 20:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,18762.10626848
2017-10-01 20:30:00+00,BTCUSD,4333.00,4340.00,4331.80,4336.10,4336.60,112.64847810
2017-10-01 20:30:00+00,ETHUSD,301.00,301.15,300.62,300.95,300.90,418.25914191
2017-10-01 20:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,52318.32091002
2017-10-01 20:45:00+00,BTCUSD,4336.10,4377.90,4335.00,4355.90,4356.80,816.90630351
2017-10-01 20:45:00+00,ETHUSD,300.95,302.41,300.80,301.99,301.72,987.38537110
2017-10-01 20:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,959.33723014
2017-10-01 21:00:00+00,BTCUSD,4355.70,4379.00,4353.00,4377.00,4368.81,498.68833093
2017-10-01 21:00:00+00,ETHUSD,301.90,302.91,301.84,302.85,302.31,1276.53393666
2017-10-01 21:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,21245.50320407
2017-10-01 21:15:00+00,BTCUSD,4377.00,4380.70,4355.10,4365.40,4370.98,997.45759880
2017-10-01 21:15:00+00,ETHUSD,302.86,303.05,301.86,302.05,302.49,1106.84471966
2017-10-01 21:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,26370.07165520
2017-10-01 21:30:00+00,BTCUSD,4365.90,4370.00,4361.00,4362.60,4365.49,455.92728166
2017-10-01 21:30:00+00,ETHUSD,302.05,303.05,301.99,302.58,302.47,1474.14886839
2017-10-01 21:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,10373.56969800
2017-10-01 21:45:00+00,BTCUSD,4362.70,4369.90,4361.10,4365.30,4364.33,107.23211779
2017-10-01 21:45:00+00,ETHUSD,302.60,303.01,302.51,303.00,302.70,545.47073321
2017-10-01 21:45:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1399.54219800
2017-10-01 22:00:00+00,BTCUSD,4365.40,4382.00,4365.30,4379.40,4374.87,451.79916014
2017-10-01 22:00:00+00,ETHUSD,303.00,304.43,302.80,303.44,303.56,1362.93697040
2017-10-01 22:00:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,36266.39513517
2017-10-01 22:15:00+00,BTCUSD,4379.80,4393.00,4376.00,4390.00,4386.43,585.14502937
2017-10-01 22:15:00+00,ETHUSD,303.68,304.41,302.97,304.14,303.78,686.06726720
2017-10-01 22:15:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,12049.72693339
2017-10-01 22:30:00+00,BTCUSD,4388.10,4419.00,4388.00,4412.50,4404.97,1311.01667688
2017-10-01 22:30:00+00,ETHUSD,304.29,305.50,304.10,305.29,304.80,2554.61115152
2017-10-01 22:30:00+00,XRPUSD,0.20,0.20,0.20,0.20,0.20,1418064.24347926
2017-10-01 22:45:00+00,BTCUSD,4413.90,4424.00,4383.70,4407.00,4406.61,1381.69270671
2017-10-01 22:45:00+00,ETHUSD,305.29,305.57,303.67,304.84,304.80,2403.67166785
